Sentence;Ironic;Quotes;Exclamation;Question;Multiple brackets;Interjections;Markers;Mistakes;P&N;P near N;Max vec dist;Max vec sg dist;Weird markers
Ребят, приготовьтесь,, эта информация может Вас шокировать, не советую читать людям с страдающим эпилепсией и эпелепсическими припадками.;1;0;0;0;0;0;0;1;1;0;0.1579203802408272;0.6178861260414124;0
Потом эти кадры напечатают и издадут глянцевым альбомом за $50.;0;0;0;0;0;0;0;0;0;0;0.1005472480327709;0.4723184704780578;0
Наглых москвичей там, питерских алкашей не надоть.;1;0;0;0;0;0;0;1;0;0;0.0818674299623125;0.1968583464622497;0
По ходу, здесь обкатывали схему строительства Зенит-арена.;0;0;0;0;0;0;0;0;0;0;0.1182789338184618;0.3951552510261535;0
Ага, на батуте прыгала, в зоне АТО, и случайно залетела в Россию…;1;0;0;0;0;0;0;2;0;0;0.108867906740714;0.4891132116317749;0
Не видит, что ли, занят, продираюсь сквозь торосы снежные, аки богатырь былинный.;1;0;0;0;0;0;0;3;0;0;0.1002757543252051;0.5221172571182251;0
Оставим самые важные советы по писательству, вроде тысячи слов в день и написании хотя бы семи глав, перед тем как выпускать фанфикшен в сеть.;0;0;0;0;0;1;1;0;0;0;0.1182154926917465;0.6146421432495117;0
Вы же должны были продвигать науку, чёрт возьми, искоренять невежество, а не примкнуть к нему!;1;0;1;0;0;0;0;0;1;1;0.1125809764041383;0.5363799333572388;0
Вы кого тогда ебать будете, если все давать перестанут?;0;0;0;1;0;0;0;0;0;0;0.0295739827236958;0.4429070949554443;0
Почему Фрекен, не скажу, а вот Бок!;0;0;1;0;0;0;0;0;0;0;0.1034847118679077;0.402773380279541;0
День конституции опять отметили торжествами: убивали тех белых, которым до этого повезло оказаться в тюрьме – по причине дружелюбного отношения к бывшим рабам.;1;0;0;0;0;0;0;0;1;1;0.1460543904599442;0.6117533445358276;0
Заходишь в яндекс чекнуть погодку или попуглить, а на тебя там уже с самого утра наваливают про асимметричные заявления и важность недопущения антиправывых всяких методов.;0;0;0;0;0;0;0;3;1;0;0.2033392494852535;0.6632436513900757;0
Это, конечно, случайность.;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0
Православие, Самодержавие и Народность- рулят!;1;0;1;0;0;0;0;1;0;0;0.0509172480031033;0.4763339757919311;0
Я *** депутата Поклонского.;0;0;0;0;0;0;0;1;0;0;0.0320987064542246;0.0;0
Это сколько же электричества сгорает впустую!;1;0;1;0;0;0;0;0;0;0;0.0186304113897336;0.2220953106880188;0
Вместо них нужно по транспорертным процедурам закупить троллейбусы в Чехии и ударными темпами монтировать новые линии.;0;0;0;0;0;0;0;1;0;0;0.1448258558132021;0.4992994666099548;0
А всё потому что Яков начал больше работать!;1;0;1;0;0;0;0;0;0;0;0.0811294556765785;0.3178703188896179;0
